RestAreaNumber,RestAreaName,CategoryID,SuburbID,Description,DistanceFrom,RoadNumber,RoadName,Latitude,Longitude,Accessible,BabyChangeFacilities,Bbq,BoatRamp,CaravanDisposal,DriverReviver,EmergencyPhones,FoodAvailable,FuelAvailable,LitterBins,Lighting,Lookout,PetsAllowed,PicnicTable,Playground,PowerOutlets,PowerSupply,Shade,Shelter,SideOfRoad,SiteStatus,SportsGround,Toilets,TouristInformation,TreeShading,VehicleType,WaterSupplyType,ResponsibleAuthority
1220,Lions Lookout,2,124,,8km from Young and  63km to Cowra,78,OLYMPIC HIGHWAY,-34.28762,148.3546,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,LEFT,,FALSE,0,FALSE,TRUE,LIGHT VEHICLES ONLY,WATER TRUCK,OTHER
1222,No name,2,124,,41km from Cootamundra and  8km to Young,78,OLYMPIC HIGHWAY,-34.37445,148.26001,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,LEFT,,FALSE,0,FALSE,FALSE,LIGHT VEHICLES ONLY,NONE,RMS
1234,The Henty Man Rest Area,2,109,,10km from Culcairn and  67km to Wagga Wagga,78,OLYMPIC HIGHWAY,-35.57921,147.04068,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,LEFT,,FALSE,1,FALSE,TRUE,BOTH LIGHT AND HEAVY VEHICLES,TOWN SUPPLY,RMS
1254,Hillston Rest Area,2,94,,108km from Griffith and  2km to Hillston,80,KIDMAN WAY,-33.50452,145.53221,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,RIGHT,,FALSE,2,FALSE,TRUE,BOTH LIGHT AND HEAVY VEHICLES,TOWN SUPPLY,RMS
1256,Sturts Marked Tree,3,119,,251km from West Wyalong and  4km to Hay,6,MID WESTERN HIGHWAY,-34.49043,144.87727,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RIGHT,,FALSE,0,FALSE,FALSE,HEAVY VEHICLES ONLY,NONE,RMS
1257,Birriwa,3,119,,247km from West Wyalong and  8km to Hay,6,MID WESTERN HIGHWAY,-34.49765,144.91777,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LEFT,,FALSE,0,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,RMS
1259,Gunbar,3,93,,179km from West Wyalong and  76km to Hay,6,MID WESTERN HIGHWAY,-34.05132,145.38959,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,RIGHT,,FALSE,0,FALSE,FALSE,HEAVY VEHICLES ONLY,NONE,RMS
1260,Ilkadoon Rd,2,92,,148km from West Wyalong and 107km to Hay,6,MID WESTERN HIGHWAY,-33.98981,145.69494,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,RIGHT,,FALSE,0,FALSE,TRUE,LIGHT VEHICLES ONLY,NONE,RMS
1262,Goolgowi,3,92,,146km from West Wyalong and 109km to Hay,6,ZARA ST,-33.98187,145.71063,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,LEFT,,FALSE,2,FALSE,FALSE,BOTH LIGHT AND HEAVY VEHICLES,NONE,COUNCIL
1264,John Oxley Rest Area,2,89,,99km from West Wyalong and 156km to Hay,6,MID WESTERN HIGHWAY,-33.87268,146.18424,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,LEFT,,FALSE,2,FALSE,TRUE,BOTH LIGHT AND HEAVY VEHICLES,WATER TRUCK,RMS
